filename,subdir,contract_id,source_path,abi_contains_transfer,is_token
3857385-0xd50f2acab96164f3f538980aa8042bf8a4e64b38.hex,3xxxxxx,3857385-0xd50f2acab96164f3f538980aa8042bf8a4e64b38,/Users/rafael/projects/skelcodes/source/3xxxxxx/3857385-0xd50f2acab96164f3f538980aa8042bf8a4e64b38,True,True
5214246-0x910845fbbd3210d74a69bc1b39a3e6dcc9630f36.hex,5xxxxxx,5214246-0x910845fbbd3210d74a69bc1b39a3e6dcc9630f36,/Users/rafael/projects/skelcodes/source/5xxxxxx/5214246-0x910845fbbd3210d74a69bc1b39a3e6dcc9630f36,True,True
7260811-0x3931684084e386cbe8ca442b504858c9092c37e2.hex,7xxxxxx,7260811-0x3931684084e386cbe8ca442b504858c9092c37e2,/Users/rafael/projects/skelcodes/source/7xxxxxx/7260811-0x3931684084e386cbe8ca442b504858c9092c37e2,True,True
11241912-0x9248c485b0b80f76da451f167a8db30f33c70907.hex,11xxxxxx,11241912-0x9248c485b0b80f76da451f167a8db30f33c70907,/Users/rafael/projects/skelcodes/source/11xxxxxx/11241912-0x9248c485b0b80f76da451f167a8db30f33c70907,True,False
4205882-0xb66852e6c0b65128256b50f6347f045c20347f66.hex,4xxxxxx,4205882-0xb66852e6c0b65128256b50f6347f045c20347f66,/Users/rafael/projects/skelcodes/source/4xxxxxx/4205882-0xb66852e6c0b65128256b50f6347f045c20347f66,True,True
5749529-0xf5ba8a8c87f976b79b17ccd25ee8dc2f8e82fb59.hex,5xxxxxx,5749529-0xf5ba8a8c87f976b79b17ccd25ee8dc2f8e82fb59,/Users/rafael/projects/skelcodes/source/5xxxxxx/5749529-0xf5ba8a8c87f976b79b17ccd25ee8dc2f8e82fb59,True,True
12791834-0xeb02fd6c0b9599d2c0d5fce38662c2a8ebdc32ba.hex,12xxxxxx,12791834-0xeb02fd6c0b9599d2c0d5fce38662c2a8ebdc32ba,/Users/rafael/projects/skelcodes/source/12xxxxxx/12791834-0xeb02fd6c0b9599d2c0d5fce38662c2a8ebdc32ba,True,True
8095094-0x0a24864596c54d79c825e64b281645249c14590c.hex,8xxxxxx,8095094-0x0a24864596c54d79c825e64b281645249c14590c,/Users/rafael/projects/skelcodes/source/8xxxxxx/8095094-0x0a24864596c54d79c825e64b281645249c14590c,True,False
8015737-0xa0562477af9d02c20e9e94280d50022c350ca0a2.hex,8xxxxxx,8015737-0xa0562477af9d02c20e9e94280d50022c350ca0a2,/Users/rafael/projects/skelcodes/source/8xxxxxx/8015737-0xa0562477af9d02c20e9e94280d50022c350ca0a2,True,True
11830578-0x410eca3747e2b2021aaba9c7e4f41b23db89b5e2.hex,11xxxxxx,11830578-0x410eca3747e2b2021aaba9c7e4f41b23db89b5e2,/Users/rafael/projects/skelcodes/source/11xxxxxx/11830578-0x410eca3747e2b2021aaba9c7e4f41b23db89b5e2,True,True
10862736-0x010194ba9ca34ac26b097a5f204dfb47b21288ea.hex,10xxxxxx,10862736-0x010194ba9ca34ac26b097a5f204dfb47b21288ea,/Users/rafael/projects/skelcodes/source/10xxxxxx/10862736-0x010194ba9ca34ac26b097a5f204dfb47b21288ea,True,True
4796148-0xda15e2f14040cb4927a92655872dec755debdc7c.hex,4xxxxxx,4796148-0xda15e2f14040cb4927a92655872dec755debdc7c,/Users/rafael/projects/skelcodes/source/4xxxxxx/4796148-0xda15e2f14040cb4927a92655872dec755debdc7c,True,True
7197102-0x876230b33475d175ff1ba685c6523b00884f1cf2.hex,7xxxxxx,7197102-0x876230b33475d175ff1ba685c6523b00884f1cf2,/Users/rafael/projects/skelcodes/source/7xxxxxx/7197102-0x876230b33475d175ff1ba685c6523b00884f1cf2,True,True
11594586-0x6b79c616b50e2ee062d81726d4b14ea6dadef1d5.hex,11xxxxxx,11594586-0x6b79c616b50e2ee062d81726d4b14ea6dadef1d5,/Users/rafael/projects/skelcodes/source/11xxxxxx/11594586-0x6b79c616b50e2ee062d81726d4b14ea6dadef1d5,True,True
8764138-0x2e146431da3c24cd9ea4337a6981667f4a9020fc.hex,8xxxxxx,8764138-0x2e146431da3c24cd9ea4337a6981667f4a9020fc,/Users/rafael/projects/skelcodes/source/8xxxxxx/8764138-0x2e146431da3c24cd9ea4337a6981667f4a9020fc,True,True
5175099-0xfedae5642668f8636a11987ff386bfd215f942ee.hex,5xxxxxx,5175099-0xfedae5642668f8636a11987ff386bfd215f942ee,/Users/rafael/projects/skelcodes/source/5xxxxxx/5175099-0xfedae5642668f8636a11987ff386bfd215f942ee,True,False
13633094-0xd0338490693f8d218a6c0e4bab85dd88440445ad.hex,13xxxxxx,13633094-0xd0338490693f8d218a6c0e4bab85dd88440445ad,/Users/rafael/projects/skelcodes/source/13xxxxxx/13633094-0xd0338490693f8d218a6c0e4bab85dd88440445ad,True,True
13598070-0xf484e3dc2b8ddaab541957d1135d1ab75b16e430.hex,13xxxxxx,13598070-0xf484e3dc2b8ddaab541957d1135d1ab75b16e430,/Users/rafael/projects/skelcodes/source/13xxxxxx/13598070-0xf484e3dc2b8ddaab541957d1135d1ab75b16e430,True,False
5739372-0x77476b54ea80ef1249a76bf2bb2155f3cfe695cc.hex,5xxxxxx,5739372-0x77476b54ea80ef1249a76bf2bb2155f3cfe695cc,/Users/rafael/projects/skelcodes/source/5xxxxxx/5739372-0x77476b54ea80ef1249a76bf2bb2155f3cfe695cc,True,True
10264996-0x22cee65575771d6bb2433a63ff6c688dfacec77b.hex,10xxxxxx,10264996-0x22cee65575771d6bb2433a63ff6c688dfacec77b,/Users/rafael/projects/skelcodes/source/10xxxxxx/10264996-0x22cee65575771d6bb2433a63ff6c688dfacec77b,True,True
13825679-0x130e0e6d32d13b508c59033f77de9cd5bb109812.hex,13xxxxxx,13825679-0x130e0e6d32d13b508c59033f77de9cd5bb109812,/Users/rafael/projects/skelcodes/source/13xxxxxx/13825679-0x130e0e6d32d13b508c59033f77de9cd5bb109812,False,False
12451712-0x0f70e371335956beacb8a536da2eca290a93805c.hex,12xxxxxx,12451712-0x0f70e371335956beacb8a536da2eca290a93805c,/Users/rafael/projects/skelcodes/source/12xxxxxx/12451712-0x0f70e371335956beacb8a536da2eca290a93805c,False,False
12495121-0xa78c4bb3fb6b86344fa752006e1934179f1066ac.hex,12xxxxxx,12495121-0xa78c4bb3fb6b86344fa752006e1934179f1066ac,/Users/rafael/projects/skelcodes/source/12xxxxxx/12495121-0xa78c4bb3fb6b86344fa752006e1934179f1066ac,False,False
12239320-0x5e55527787fdb1cb95ffb5616fa5c9e89f4aff37.hex,12xxxxxx,12239320-0x5e55527787fdb1cb95ffb5616fa5c9e89f4aff37,/Users/rafael/projects/skelcodes/source/12xxxxxx/12239320-0x5e55527787fdb1cb95ffb5616fa5c9e89f4aff37,False,False
4996941-0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.hex,4xxxxxx,4996941-0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,/Users/rafael/projects/skelcodes/source/4xxxxxx/4996941-0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,False,False
4690843-0x5781b54d7c663d69e0df47c9066f88f4995ce4ba.hex,4xxxxxx,4690843-0x5781b54d7c663d69e0df47c9066f88f4995ce4ba,/Users/rafael/projects/skelcodes/source/4xxxxxx/4690843-0x5781b54d7c663d69e0df47c9066f88f4995ce4ba,False,False
12182382-0xdb267f04d407e118638f8bcfa54d3ffc33da5e52.hex,12xxxxxx,12182382-0xdb267f04d407e118638f8bcfa54d3ffc33da5e52,/Users/rafael/projects/skelcodes/source/12xxxxxx/12182382-0xdb267f04d407e118638f8bcfa54d3ffc33da5e52,False,False
